species,finnish_name
Boletus edulis,herkkutatti
Boletus pinophilus,männynherkkutatti
Boletus reticulatus,tammenherkkutatti
Leccinum aurantiacum,haavanpunikkitatti
Leccinum versipelle,koivunpunikkitatti
Leccinum vulpinum,männynpunikkitatti
Suillus luteus,voitatti
Suillus variegatus,kangastatti
Lactarius deliciosus,männynleppärousku
Lactarius deterrimus,kuusenleppärousku
Lactarius rufus,kangasrousku
Lactarius torminosus,karvarousku
Lactarius trivialis,haaparousku
Russula claroflava,keltahapero
Russula decolorans,kangashapero
Russula paludosa,isohapero
Cantharellus cibarius,keltavahvero
Craterellus cornucopioides,mustatorvisieni
Craterellus tubaeformis,suppilovahvero
Albatrellus ovinus,lampaankääpä
Cortinarius caperatus,kehnäsieni
Hydnum repandum,vaaleaorakas
Hygrophorus camarophyllus,mustavahakas
Morchella spp,huhtasieni
Russula vinosa,viinihapero
Tricholoma matsutake,tuoksuvalmuska
